Date,Time,Open,High,Low,Close,Volume
2022-12-20,00:00:00,1.0610,1.0615,1.0605,1.0612,100
2022-12-20,01:00:00,1.0612,1.0620,1.0610,1.0618,110
2022-12-20,02:00:00,1.0618,1.0625,1.0615,1.0620,120
2022-12-20,03:00:00,1.0620,1.0622,1.0618,1.0619,105
2022-12-20,04:00:00,1.0619,1.0620,1.0610,1.0615,130
2022-12-20,05:00:00,1.0615,1.0618,1.0610,1.0613,140
2022-12-20,06:00:00,1.0613,1.0615,1.0605,1.0608,150
2022-12-20,07:00:00,1.0608,1.0610,1.0600,1.0605,160
2022-12-20,08:00:00,1.0605,1.0608,1.0600,1.0602,170
2022-12-20,09:00:00,1.0602,1.0605,1.0595,1.0600,180
2022-12-20,10:00:00,1.0600,1.0602,1.0590,1.0595,190
2022-12-20,11:00:00,1.0595,1.0598,1.0590,1.0592,200
2022-12-20,12:00:00,1.0592,1.0595,1.0585,1.0590,210
2022-12-20,13:00:00,1.0590,1.0592,1.0580,1.0584,220
2022-12-20,14:00:00,1.0584,1.0585,1.0575,1.0580,230
2022-12-20,15:00:00,1.0580,1.0582,1.0570,1.0575,240
2022-12-20,16:00:00,1.0575,1.0578,1.0570,1.0572,250
2022-12-20,17:00:00,1.0572,1.0575,1.0565,1.0570,260
2022-12-20,18:00:00,1.0570,1.0572,1.0560,1.0565,270
2022-12-20,19:00:00,1.0565,1.0568,1.0560,1.0562,280
2022-12-20,20:00:00,1.0562,1.0565,1.0555,1.0560,290
2022-12-20,21:00:00,1.0560,1.0562,1.0550,1.0555,300
2022-12-20,22:00:00,1.0555,1.0558,1.0550,1.0552,285
2022-12-20,23:00:00,1.0552,1.0555,1.0545,1.0550,270
2023-01-01,10:00:00,1.0495,1.0515,1.0490,1.0510,190
2023-01-01,11:00:00,1.0510,1.0530,1.0505,1.0525,200
2023-01-01,12:00:00,1.0525,1.0540,1.0520,1.0535,210
2023-01-01,13:00:00,1.0535,1.0555,1.0530,1.0550,220
2023-01-01,14:00:00,1.0550,1.0565,1.0545,1.0560,230
2023-01-01,15:00:00,1.0560,1.0570,1.0555,1.0565,240
2023-01-01,16:00:00,1.0565,1.0580,1.0560,1.0575,250
2023-01-01,17:00:00,1.0575,1.0595,1.0570,1.0590,260
2023-01-01,18:00:00,1.0590,1.0600,1.0585,1.0595,270
2023-01-01,19:00:00,1.0595,1.0610,1.0590,1.0605,280
2023-01-01,20:00:00,1.0605,1.0625,1.0600,1.0620,290
2023-01-01,21:00:00,1.0620,1.0630,1.0615,1.0625,300
2023-01-01,22:00:00,1.0625,1.0628,1.0618,1.0622,285
2023-01-01,23:00:00,1.0622,1.0625,1.0610,1.0615,270
2023-01-02,00:00:00,1.0615,1.0618,1.0605,1.0610,260
2023-01-02,01:00:00,1.0610,1.0600,1.0585,1.0590,290
2023-01-02,02:00:00,1.0590,1.0595,1.0580,1.0585,310
2023-01-02,03:00:00,1.0585,1.0590,1.0575,1.0580,300
2023-01-02,04:00:00,1.0580,1.0582,1.0570,1.0575,280
2023-01-02,05:00:00,1.0575,1.0578,1.0565,1.0570,270
2023-01-02,06:00:00,1.0570,1.0572,1.0560,1.0565,260
2023-01-02,07:00:00,1.0565,1.0568,1.0555,1.0560,250
2023-01-02,08:00:00,1.0560,1.0562,1.0550,1.0555,240
2023-01-02,09:00:00,1.0555,1.0558,1.0545,1.0550,230
2023-01-02,10:00:00,1.0550,1.0552,1.0540,1.0545,220
2023-01-02,11:00:00,1.0545,1.0548,1.0535,1.0540,210
2023-01-02,12:00:00,1.0540,1.0542,1.0530,1.0535,200
